127.0.0.1 - - [22/Jul/2023:13:53:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/index.jsp HTTP/1.1" 200 34987
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/css/ziehharmonika.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/css/JiSlider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/css/services.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/js/JiSlider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/js/ziehharmonika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2023:13:53:10 +0530] "GET /khajinadoc/js/SmoothScroll.min.js HTTP/1.1" 304 -
